Date,Open,High,Low,Close,Volume,Adj Close
2015-10-23,50.400002,50.84,49.16,49.380001,742100,49.380001
2015-10-22,48.560001,50.41,48.560001,49.91,767000,49.91
2015-10-21,48.450001,48.450001,48.450001,48.450001,000,48.450001
2015-10-20,47.720001,48.200001,47.400002,47.720001,448300,47.720001
2015-10-19,47.209999,47.91,47.209999,47.669998,400400,47.669998
2015-10-16,48.00,48.00,47.419998,47.549999,482900,47.549999
2015-10-15,47.73,48.380001,47.669998,47.84,482300,47.84
2015-10-14,47.91,48.360001,47.75,47.810001,467100,47.810001
2015-10-13,48.349998,48.720001,47.810001,48.110001,499500,48.110001
2015-10-09,47.970001,48.27,47.779999,48.040001,302400,48.040001
2015-10-08,48.119999,48.619999,47.389999,48.119999,469100,48.119999
2015-10-07,48.02,48.25,47.43,48.220001,444400,48.220001
2015-10-06,48.50,48.700001,47.470001,47.73,516100,47.73
2015-10-05,48.419998,48.98,48.380001,48.669998,516000,48.669998
2015-10-02,47.25,48.669998,47.119999,48.389999,803400,48.389999
2015-10-01,48.349998,48.349998,46.91,47.68,842800,47.68
2015-09-30,47.77,48.400002,47.529999,48.349998,630600,48.349998
2015-09-29,46.990002,47.759998,46.650002,47.279999,1357400,47.279999
2015-09-28,47.509998,47.900002,46.900002,46.959999,903900,46.959999
2015-09-25,47.849998,48.610001,47.240002,47.799999,1382700,47.799999
2015-09-24,47.389999,47.82,46.52,47.34,794200,47.34
2015-09-23,48.07,48.490002,47.560001,47.689999,411500,47.689999
2015-09-22,48.189999,48.50,47.27,48.16,769900,48.16
2015-09-21,47.919998,49.330002,47.919998,48.860001,1182700,48.860001
2015-09-18,46.57,47.93,46.400002,47.849998,2110200,47.849998
2015-09-17,47.419998,47.900002,47.02,47.18,1252200,47.18
2015-09-16,47.450001,47.799999,47.32,47.41,946700,47.41
2015-09-15,47.830002,47.860001,47.220001,47.419998,1491400,47.419998
2015-09-14,47.860001,48.009998,47.200001,47.799999,939700,47.799999
2015-09-11,47.630001,48.34,47.610001,47.900002,399400,47.900002
2015-09-10,47.73,48.560001,47.709999,47.98,231900,47.98
2015-09-09,48.939999,49.490002,47.950001,48.00,440900,48.00
2015-09-08,48.240002,48.990002,48.07,48.810001,389700,48.810001
2015-09-04,47.50,48.27,47.299999,47.610001,319700,47.610001
2015-09-03,48.799999,48.799999,47.98,48.049999,312900,48.049999
2015-09-02,48.32,49.279999,48.200001,48.639999,1538700,48.639999
